epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4224,1.72065,2.88044,1.06511,0.90126,0.81084,0.86099,0.50992,0.83781,6.15113,0.64229,0.00036761,0.00036761,0.00036761
2,33.6503,1.54846,0.90923,0.98513,0.90206,0.81691,0.86586,0.49776,0.97035,0.96493,0.66608,0.000723332,0.000723332,0.000723332
3,49.7919,1.53995,0.85566,0.98047,0.88049,0.85219,0.88032,0.52659,0.8575,2.59553,0.64984,0.00106439,0.00106439,0.00106439
4,65.912,1.53887,0.82071,0.97697,0.91558,0.81871,0.8878,0.54189,0.85291,0.88589,0.64653,0.00104501,0.00104501,0.00104501
5,82.0217,1.48963,0.77874,0.96739,0.88935,0.87839,0.9006,0.55276,0.83233,0.74954,0.6409,0.00102301,0.00102301,0.00102301
6,98.1482,1.48789,0.76045,0.95534,0.88375,0.89729,0.90427,0.56192,0.84824,0.72276,0.64514,0.00100101,0.00100101,0.00100101
7,114.258,1.48078,0.73451,0.95247,0.9149,0.86444,0.89638,0.56201,0.86061,1.36742,0.64642,0.000979013,0.000979013,0.000979013
8,130.382,1.47032,0.72388,0.94313,0.90728,0.84835,0.89441,0.55731,0.82612,0.48086,0.64256,0.000957015,0.000957015,0.000957015
9,146.461,1.44003,0.72063,0.939,0.91881,0.88727,0.91426,0.54647,0.8452,0.70152,0.64059,0.000935018,0.000935018,0.000935018
10,162.548,1.41074,0.70538,0.93695,0.92556,0.87063,0.90871,0.57029,0.80149,0.54893,0.634,0.00091302,0.00091302,0.00091302
11,178.668,1.41327,0.6858,0.93948,0.9294,0.85942,0.92071,0.56844,0.82766,1.25024,0.6414,0.000891022,0.000891022,0.000891022
12,194.733,1.39763,0.67956,0.92726,0.93789,0.87949,0.91,0.56604,0.82217,0.51871,0.64112,0.000869024,0.000869024,0.000869024
13,210.8,1.41075,0.68776,0.93444,0.93056,0.88303,0.917,0.57372,0.80687,0.56863,0.637,0.000847026,0.000847026,0.000847026
14,226.922,1.34577,0.6509,0.91259,0.94613,0.88354,0.91997,0.57315,0.80415,1.00273,0.63363,0.000825029,0.000825029,0.000825029
15,242.983,1.33663,0.65621,0.91213,0.93903,0.88444,0.91227,0.57764,0.78306,0.43104,0.62719,0.000803031,0.000803031,0.000803031
16,259.091,1.31683,0.63698,0.91441,0.92909,0.89999,0.92359,0.58054,0.78399,0.51426,0.62702,0.000781033,0.000781033,0.000781033
17,275.214,1.31919,0.63649,0.90495,0.89922,0.89669,0.90715,0.57751,0.78783,0.46609,0.62687,0.000759035,0.000759035,0.000759035
18,291.298,1.31867,0.63818,0.90485,0.93693,0.88444,0.91641,0.5455,0.80872,0.54571,0.63392,0.000737037,0.000737037,0.000737037
19,307.365,1.28105,0.61676,0.90047,0.94194,0.87864,0.91272,0.58541,0.79007,1.37237,0.63025,0.00071504,0.00071504,0.00071504
20,323.491,1.31769,0.63219,0.90562,0.91036,0.91456,0.91994,0.60015,0.77843,0.40883,0.63103,0.000693042,0.000693042,0.000693042
21,339.61,1.27839,0.60833,0.90057,0.93871,0.88909,0.91102,0.59029,0.76675,0.44078,0.62559,0.000671044,0.000671044,0.000671044
22,355.685,1.23659,0.59626,0.88791,0.92293,0.90093,0.92524,0.59359,0.77913,0.42592,0.62882,0.000649046,0.000649046,0.000649046
23,371.756,1.26475,0.59449,0.89324,0.94859,0.88175,0.9203,0.59111,0.77539,0.4737,0.62733,0.000627048,0.000627048,0.000627048
24,387.834,1.2289,0.58249,0.88741,0.93793,0.88661,0.91939,0.58936,0.77222,0.40301,0.62648,0.000605051,0.000605051,0.000605051
25,403.898,1.2114,0.57009,0.88474,0.93866,0.89574,0.93143,0.6005,0.76036,0.38449,0.62433,0.000583053,0.000583053,0.000583053
26,420.012,1.20338,0.55574,0.88949,0.92776,0.90299,0.92445,0.60124,0.73834,0.38777,0.6265,0.000561055,0.000561055,0.000561055
27,436.128,1.17595,0.54851,0.87883,0.93074,0.89835,0.92551,0.59705,0.75625,0.38716,0.62649,0.000539057,0.000539057,0.000539057
28,452.204,1.17595,0.53926,0.87758,0.92925,0.91642,0.92693,0.58642,0.744,0.3758,0.62665,0.000517059,0.000517059,0.000517059
29,468.263,1.156,0.5383,0.87703,0.95334,0.89705,0.92677,0.5975,0.76465,0.39079,0.62984,0.000495062,0.000495062,0.000495062
30,484.336,1.1308,0.51731,0.87312,0.9436,0.91206,0.9194,0.58312,0.75761,0.46935,0.62949,0.000473064,0.000473064,0.000473064
31,500.401,1.13438,0.51711,0.87353,0.91644,0.90982,0.91736,0.59502,0.75356,0.42149,0.63016,0.000451066,0.000451066,0.000451066
32,516.467,1.1226,0.51352,0.86463,0.94039,0.90376,0.92091,0.58838,0.74289,0.38497,0.62775,0.000429068,0.000429068,0.000429068
33,532.534,1.11555,0.50876,0.86459,0.93928,0.90406,0.92427,0.6003,0.75734,0.4026,0.62904,0.00040707,0.00040707,0.00040707
34,548.595,1.09314,0.50366,0.86134,0.93872,0.91616,0.93027,0.59579,0.76326,0.38384,0.62986,0.000385073,0.000385073,0.000385073
35,564.646,1.08974,0.49314,0.86426,0.96076,0.89953,0.9306,0.60058,0.75484,0.35683,0.62749,0.000363075,0.000363075,0.000363075
36,580.708,1.08212,0.49148,0.85881,0.93149,0.91742,0.93014,0.59277,0.76211,0.37311,0.62635,0.000341077,0.000341077,0.000341077
37,596.772,1.06266,0.48657,0.85688,0.93134,0.91651,0.92827,0.59374,0.74098,0.36298,0.62601,0.000319079,0.000319079,0.000319079
38,612.84,1.05418,0.47952,0.85383,0.94102,0.90931,0.92963,0.60188,0.74868,0.36018,0.62745,0.000297081,0.000297081,0.000297081
39,628.959,1.06247,0.47702,0.85527,0.94337,0.90972,0.93087,0.59565,0.75735,0.37019,0.62686,0.000275084,0.000275084,0.000275084
40,645.045,1.02375,0.46266,0.84803,0.94607,0.91269,0.94057,0.60417,0.74796,0.35627,0.62526,0.000253086,0.000253086,0.000253086
41,661.471,1.00171,0.44253,0.85845,0.94259,0.90356,0.9326,0.59938,0.73728,0.44712,0.62301,0.000231088,0.000231088,0.000231088
42,677.482,0.9874,0.43834,0.85659,0.94909,0.91751,0.93235,0.6049,0.73995,0.37179,0.62639,0.00020909,0.00020909,0.00020909
43,693.543,0.9695,0.42943,0.85568,0.93241,0.92297,0.93219,0.60581,0.73714,0.36024,0.62561,0.000187092,0.000187092,0.000187092
44,709.589,0.93801,0.42214,0.84714,0.9354,0.91269,0.93043,0.60151,0.75339,0.37071,0.62605,0.000165095,0.000165095,0.000165095
45,725.587,0.91864,0.41186,0.84659,0.95883,0.90733,0.92968,0.60126,0.74921,0.35653,0.62701,0.000143097,0.000143097,0.000143097
46,741.576,0.9101,0.41059,0.83736,0.94198,0.91456,0.92425,0.60775,0.73065,0.35377,0.62568,0.000121099,0.000121099,0.000121099
47,757.63,0.90103,0.40401,0.84152,0.94375,0.91547,0.93651,0.6059,0.7414,0.36498,0.62861,9.91012e-05,9.91012e-05,9.91012e-05
48,773.624,0.88466,0.396,0.83421,0.93476,0.92374,0.93274,0.60716,0.74426,0.35267,0.62889,7.71034e-05,7.71034e-05,7.71034e-05
49,789.629,0.87834,0.39646,0.83113,0.93969,0.90891,0.93477,0.6079,0.73169,0.35151,0.62628,5.51056e-05,5.51056e-05,5.51056e-05
50,805.676,0.85502,0.38528,0.83046,0.93332,0.92182,0.93195,0.61347,0.73018,0.35163,0.62674,3.31078e-05,3.31078e-05,3.31078e-05
                      1,                 1.6808,                 3.0123,                 1.0602,                0.84602,                0.82194,                0.88014,                0.53864,                  0.839,                0.84913,                0.64733,             0.00036761,             0.00036761,             0.00036761
                      2,                 1.5193,                0.91516,                0.99503,                0.90449,                 0.8224,                0.87226,                0.52494,                0.88807,                0.53333,                0.65333,             0.00072333,             0.00072333,             0.00072333
                      3,                 1.4995,                 0.8235,                0.98732,                0.87743,                0.77199,                0.82566,                 0.4483,                0.93103,                 1.1088,                 0.6662,              0.0010644,              0.0010644,              0.0010644
                      4,                 1.5124,                0.81453,                0.97956,                0.90493,                0.86094,                 0.8947,                0.55864,                0.85163,                0.55129,                0.65063,               0.001045,               0.001045,               0.001045
                      5,                 1.4702,                0.76707,                0.97233,                0.80715,                0.84118,                0.77712,                0.47701,                0.83331,                0.78968,                0.65512,               0.001023,               0.001023,               0.001023
                      6,                 1.4543,                 0.7472,                0.97116,                 0.9385,                0.86411,                 0.9093,                0.57539,                 0.8276,                0.45741,                0.64394,               0.001001,               0.001001,               0.001001
                      7,                 1.4529,                0.73593,                0.95863,                0.87334,                0.87417,                0.88595,                  0.551,                0.80536,                 1.0455,                0.64207,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.4065,                0.71462,                0.94945,                0.93389,                0.82622,                0.90384,                0.56592,                0.81083,                  0.742,                0.64614,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.4006,                 0.6939,                0.95081,                0.91121,                0.86955,                0.89728,                0.56021,                0.82577,                0.90463,                0.64218,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.3967,                0.67828,                0.94507,                0.91387,                0.84447,                0.89763,                0.55641,                0.82365,                 1.9449,                0.64799,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.3794,                0.68502,                0.94165,                0.89503,                0.88217,                0.91549,                0.58473,                0.79778,                0.79936,                0.64078,             0.00089102,             0.00089102,             0.00089102
                      1,                 1.5116,                 1.3114,                 0.9969,                0.88181,                0.78636,                0.85617,                0.53053,                0.81413,                 1.6869,                 0.6457,             0.00036943,             0.00036943,             0.00036943
                      2,                 1.4481,                0.75277,                0.96412,                0.93756,                0.86439,                0.91382,                0.57101,                0.82012,                0.81063,                0.63934,             0.00072511,             0.00072511,             0.00072511
                      3,                 1.4266,                0.72567,                0.95516,                0.88626,                0.86507,                0.89736,                0.56819,                 0.8006,                 5.6125,                0.63564,              0.0010661,              0.0010661,              0.0010661
                      4,                 1.3855,                0.69168,                0.94707,                0.92244,                 0.8732,                0.91244,                0.57073,                0.81358,                 2.2429,                0.63959,               0.001045,               0.001045,               0.001045
                      5,                 1.3442,                0.64559,                0.93687,                0.91519,                0.87053,                0.91461,                0.60229,                0.79462,                0.56202,                0.63929,               0.001023,               0.001023,               0.001023
                      6,                 1.2971,                0.61827,                 0.9193,                0.92699,                 0.8967,                0.92715,                0.58942,                0.79426,                 1.5279,                0.63582,               0.001001,               0.001001,               0.001001
                      7,                 1.2459,                0.59135,                0.90967,                0.91681,                0.90149,                0.93159,                0.59461,                0.77583,                 2.5017,                0.63599,             0.00097901,             0.00097901,             0.00097901
                      8,                 1.2216,                 0.5728,                0.90494,                0.93325,                0.88057,                0.91185,                0.59329,                0.77007,                  0.455,                0.62948,             0.00095702,             0.00095702,             0.00095702
                      9,                 1.1931,                0.55709,                  0.897,                0.96049,                0.87324,                0.94117,                0.62072,                0.77279,                0.53379,                0.63015,             0.00093502,             0.00093502,             0.00093502
                     10,                 1.1561,                0.53755,                0.88673,                0.93952,                0.89574,                0.93815,                 0.6136,                0.74546,                 1.3982,                0.62595,             0.00091302,             0.00091302,             0.00091302
                     11,                 1.1402,                 0.5261,                0.88372,                0.93014,                0.89931,                0.93111,                0.62788,                0.75213,                 1.3783,                0.62834,             0.00089102,             0.00089102,             0.00089102
                     12,                 1.0928,                0.50388,                0.87594,                0.94068,                0.86568,                 0.9198,                0.60822,                 0.7678,                0.97313,                0.63442,             0.00086902,             0.00086902,             0.00086902
                     13,                 1.0803,                0.49907,                  0.874,                0.94152,                0.88674,                0.94212,                 0.6242,                0.75331,                0.88028,                 0.6282,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.0547,                0.48512,                0.86787,                0.94964,                0.88193,                0.93742,                0.63167,                 0.7401,                0.38393,                0.62706,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.0375,                0.48052,                0.86262,                0.94346,                0.91642,                0.93547,                0.62803,                0.74021,                0.42813,                0.63409,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.0199,                0.46896,                0.86084,                0.95294,                0.90078,                0.94168,                0.64056,                0.73912,                0.40253,                 0.6284,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.0009,                0.45939,                0.85561,                0.93146,                0.90287,                0.93979,                0.62866,                0.73848,                0.60398,                 0.6283,             0.00075904,             0.00075904,             0.00075904
                     18,                0.98186,                0.45057,                0.85137,                0.92434,                0.90323,                0.93494,                0.62526,                0.76002,                 0.3972,                0.63186,             0.00073704,             0.00073704,             0.00073704
                     19,                0.96096,                0.44416,                0.84904,                0.93364,                0.90215,                0.93814,                0.63498,                0.73208,                0.45779,                0.62805,             0.00071504,             0.00071504,             0.00071504
                     20,                 0.9499,                0.43607,                0.84841,                0.94231,                0.89862,                0.94515,                0.65216,                0.72149,                0.38855,                0.62963,             0.00069304,             0.00069304,             0.00069304
                     21,                0.92649,                  0.429,                0.84516,                 0.9334,                0.92344,                0.94676,                0.64217,                0.72448,                0.36082,                0.62974,             0.00067104,             0.00067104,             0.00067104
                     22,                 0.9158,                0.42095,                0.84317,                0.95445,                0.89348,                0.94646,                0.64261,                0.73186,                0.36445,                0.63485,             0.00064905,             0.00064905,             0.00064905
                     23,                0.89566,                0.41158,                0.83841,                0.95074,                 0.8933,                0.94371,                0.64713,                0.71498,                 0.7574,                0.62707,             0.00062705,             0.00062705,             0.00062705
                     24,                0.88531,                0.40864,                0.83812,                0.93846,                0.90326,                0.94286,                0.64716,                0.71688,                0.35904,                0.62703,             0.00060505,             0.00060505,             0.00060505
                     25,                 0.8702,                 0.3989,                0.83722,                0.94442,                0.90361,                0.93917,                0.63788,                0.72488,                0.42061,                0.63181,             0.00058305,             0.00058305,             0.00058305
                     26,                0.86054,                0.39453,                0.83323,                0.94217,                0.90551,                0.93955,                0.64825,                0.72016,                0.36007,                0.62618,             0.00056105,             0.00056105,             0.00056105
                     27,                0.84383,                0.39214,                0.82877,                0.94078,                0.90704,                0.94383,                0.64504,                 0.7391,                0.39885,                 0.6294,             0.00053906,             0.00053906,             0.00053906
                     28,                0.83043,                0.38531,                0.82928,                0.93498,                0.91194,                0.93741,                0.64638,                0.73448,                0.36785,                0.63111,             0.00051706,             0.00051706,             0.00051706
                     29,                0.81522,                0.37947,                 0.8257,                0.95046,                0.89916,                0.93551,                0.64754,                0.72311,                0.38468,                 0.6282,             0.00049506,             0.00049506,             0.00049506
                     30,                0.80697,                0.37131,                0.82603,                0.94027,                0.89672,                0.93662,                0.65232,                0.71493,                0.35546,                0.62985,             0.00047306,             0.00047306,             0.00047306
                     31,                0.78224,                0.36042,                0.82274,                0.94574,                0.89484,                0.94443,                0.65642,                0.71048,                0.40401,                0.62811,             0.00045107,             0.00045107,             0.00045107
                     32,                0.78112,                0.36159,                0.82207,                0.95251,                0.89945,                0.94356,                0.64958,                0.72154,                 0.3388,                0.63159,             0.00042907,             0.00042907,             0.00042907
                     33,                0.76938,                0.35746,                0.82192,                0.92524,                0.90966,                0.93958,                0.64889,                 0.7205,                0.34545,                0.62882,             0.00040707,             0.00040707,             0.00040707
